"New York, NY",Hawkfish,"Data Scientist, Voter Data",,
"New York, NY 10012 (Greenwich Village area)",New York University,Programmer/Data Scientist (Researcher),,4.2
"New York, NY",Concerto HealthAI,Clinical UAT Data Scientist,"$100,000 - $150,000 a year",
"New York, NY 10003 (Flatiron District area)",Casper,Data Scientist,,4.2
"New York, NY",Alldus,Data Scientist,,
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,,
,Noom Inc.,Senior Data Scientist (Remote-friendly),,4.1
,ArchieMD,"Senior Artificial Intelligence, Machine Learning Software Engineer",,
,Enhance IT,Jr. Machine Learning Engineers,$35 - $40 an hour,4.0
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,,
"Atlanta, GA",UNITED PARCEL SERVICE,Marketing Data Scientist,,3.8
"Atlanta, GA",Pearson,Data Scientist,,3.8
"Atlanta, GA",UCB S.A.,HEOR / RWE Data Scientist,,3.8
"Alpharetta, GA",Quest America,Data Scientist,$65 - $70 an hour,
"Atlanta, GA",ThreeBridge Solutions,Data Scientist,,4.3
"Atlanta, GA",The Home Depot,Associate Data Scientist,,3.8
"Atlanta, GA 30301 (Buckhead area)",Cox Automotive,Senior Data Scientist,,3.5
"Atlanta, GA 30318",Harmony,Data Scientist,"$75,000 - $120,000 a year",
"Atlanta, GA",Opendoor,Senior Data Scientist - Homes,,3.0
"Atlanta, GA",Gallup,Data Scientist,,3.8
,Perspecta Labs,Machine Learning Research Scientist,,4.0
,Eastern Airlines LLC,Business Analyst - Data and Analytics,"$75,000 - $85,000 a year",
,Eisai,"Medical Data Scientist - Clinical Safety Data Review, Oncology",,3.8
"Philadelphia, PA 19019 (Somerton area)",Thermo Fisher Scientific,Data Scientist,,3.5
"Philadelphia, PA 19146 (Graduate Hospital area)",Children's Hospital of Philadelphia,Imaging Data Scientist I,,4.0
"Harrisburg, PA",Pearson,Data Scientist,,3.8
"Camden, NJ 08103 (Central Waterfront area)",United States Cold Storage,Jr. Data Scientist,,3.5
"Brooklyn, NY 11201",Etsy,Data Scientist,,4.4
"Philadelphia, PA",Dotcom Team LLC,Data Scientist,,
"New York, NY",Source Enterprises,Data Scientist,,4.3
"Philadelphia, PA",Invent Analytics,Junior Data Scientist,,
"Brooklyn, NY 11201",Etsy,"Data Scientist, Analytics",,4.4
"Philadelphia, PA",Invent Analytics,Data Scientist,,
,Noom Inc.,Senior Data Scientist (Remote-friendly),,4.1
,The American College of Radiology,Clinical Data Manager,,
,"YinzCam, Inc.",Senior Data Analyst,,4.0
,Federated Hermes,IMO Senior Data Analyst,,
,Software Engineering Institute,Machine Learning Research Scientist,,4.3
"Coraopolis, PA 15108",DICK'S Sporting Goods,Data Scientist,,3.5
"Pittsburgh, PA 15207 (Hays area)","Dagostino Electronic Services, Inc.",Chief Data Scientist,,
"Kent, OH 44240",Davey Tree,"Data Scientist - Kent, OH",,3.6
"Pittsburgh, PA 15206 (East Liberty area)","YinzCam, Inc.",Senior Data Analyst,,4.0
"Cranberry Township, PA 16066",Westinghouse Electric Company,Data Scientist- Contract Opportunity,,3.4
