"Baton Rouge, LA",State of Louisiana,Medicaid Program Manager 2 (Operations Manager),"$5,301 - $10,431 a month",3.5
"Baton Rouge, LA 70815 (Cortana area)",BBQGuys,Order Selector/Picker,$18 an hour,
"Baton Rouge, LA",Woman's Hospital,Patient Access Representative - Outpatient Registration - Days,,4.4
"Baton Rouge, LA 70805 (North Baton Rouge area)",Hair Crown Beauty Supply,Fulfillment Assistant,,
"Baton Rouge, LA 70806",Merakey,Program Assistant,$14.50 an hour,3.1
,"Innovex, Inc",Thermal Spray Technician,$17 - $19 an hour,3.7
,"Breazeale, Sachse & Wilson, LLP",Construction Litigation Paralegal,,
,Window World,Remolding/Home improvement Technician,,3.6
,Baton Rouge Cardiology Center,Medical Receptionist,$10 - $13 an hour,3.3
,Ascension Credit Union,Part-Time Teller,$11 - $14 an hour,3.1
,Southern Marsh Collection,Accounts Receivable Accountant,"$47,000 - $50,000 a year",3.4
"Baton Rouge, LA","Loomis Armored US, LLC",Armored Service Technician - Baton Rouge LA (3410),$14 an hour,2.8
"Metairie, LA 70002",NINJA Nation - Aflac,Insurance Agent - Training Provided & Flexible Schedule,"$40,000 - $80,000 a year",
"Baton Rouge, LA 70806 (Goodwood area)",Levy & Vutera Family Dentistry,Dental Receptionist,$15 - $18 an hour,
"Baton Rouge, LA 70810 (Highland-Perkins area)",The NeuroMedical Center Clinic,Appointment Scheduler,,3.3
"Baton Rouge, LA",Main Event Entertainment,Games Attendant,,3.4
"Baton Rouge, LA 70836",DEFY,Trampoline Park Flight Crew Employee | PART TIME,,3.8
"Baton Rouge, LA 70801 (Downtown area)",Cox Communications,Call Center Customer Experience Associate,,3.8
"Baton Rouge, LA",T. Parker Host,Operator,,4.2
"Baton Rouge, LA",State of Louisiana,Medicaid Program Specialist 1-2,"$2,883 - $5,675 a month",3.5
"Baton Rouge, LA",Pelican State Credit Union,"Call Center Representative (Baton Rouge, LA)",,3.9
,"Innovex, Inc",Thermal Spray Technician,$17 - $19 an hour,3.7
,Southern Marsh Collection,Accounts Receivable Accountant,"$47,000 - $50,000 a year",3.4
,Liquid Environmental Solutions,Plant Operator I,,2.4
,Window World,Remolding/Home improvement Technician,,3.6
,Ascension Credit Union,Part-Time Teller,$11 - $14 an hour,3.1
,Baton Rouge Cardiology Center,Medical Receptionist,$10 - $13 an hour,3.3
,Camelot Leisure Living,Social Service Director,,2.6
,Baton Rouge Cardiology Center,Medical Receptionist,$10 - $13 an hour,3.3
"Zachary, LA 70791",Cardiovascular Institute of the South,Receptionist,,3.8
"Plaquemine, LA 70764",APTIM,Pipefitter Helper,,3.6
"Baton Rouge, LA 70802 (LSU area)",Five Guys Burgers and Fries,Crew Member - LSU,$8.50 - $10.50 an hour,3.7
"Baton Rouge, LA",Guaranty Media,On-Air Talent,,4.3
"Baton Rouge, LA 70809 (Inniswold area)",AL&A Inc.,FedEx Delivery Driver,$550 - $650 a week,
"Baton Rouge, LA","Child Development Services, Inc",Summer Camp Positions,$7.25 - $10.50 an hour,4.4
"Baton Rouge, LA","Community Coffee Company, L.L.C.",Customer Care Representative,,3.5
"Baton Rouge, LA 70808 (South Burbank area)",Friends of the Animals Baton Rouge,Part Time Dog Adoption House Staff,,
"Baton Rouge, LA 70815 (Sherwood Forest area)",Grabince,Production Worker,$10 - $14 an hour,
"Baton Rouge, LA",Ochsner Health System,Patient Access Rep,,3.9
,Master Vac Industrial Services,INDUSTRIAL CLEANING SUPERVISORS/OPERATORS,,3.6
,Southern Marsh Collection,Accounts Receivable Accountant,"$47,000 - $50,000 a year",3.4
,Ascension Credit Union,Part-Time Teller,$11 - $14 an hour,3.1
,Wilkinson County Correctional Facility,Correctional Officer,$12.25 an hour,3.7
"Greensburg, LA 70441",St. Helena College & Career Academy,College & Career Academic Coach,"$50,100 - $51,100 a year",4.0
